hhid,today,coffee_farm_manager,survey_agreed,woredaname,kebele_def,farm_owner,coop_f,coop_m,edu_wh,edu_hw,gpslatitude_deidentified,gpslongitude_deidentified,farm_area_total,coffeefarm_area_total,num_coffee_fields,ao_ls_7,washed_arabica_production,trainings3,income_from_coffee_mod,coffeetrees
5290512,25-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Junior Secondary - Grade 7-8,5.7305303,38.52052,1,0.5,1,0,200,1,25%,1250
5290513,25-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7306767,38.520588,1,0.5,1,0,180,1,<25%,1250
5290515,25-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7326098,38.520695,2,1,2,0,200,1,0,2500
5290516,30-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7259656,38.507172,2,2,2,0,300,1,>50%,5000
5290517,30-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7259656,38.507172,1.5,1,2,0,500,1,>25% and <50%,2500
5290518,22-May-20,Woman (wife),Yes,Kercha,Egu Abeyi,Woman (wife),No,,No Education,,5.725247,38.479207,1,1,1,0,500,1,50%,2500
5290519,25-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7335392,38.521443,2,2,2,4,,1,25%,5000
5290520,20-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7343355,38.522038,2,2,1,0,350,1,100%,5000
5290521,05-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7253233,38.479104,3,3,2,1,300,1,>50%,7500
5290522,05-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7221428,38.483037,3,2,2,1,500,1,50%,5000
5290524,20-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7340379,38.522946,2,2,2,0,600,1,100%,5000
5290526,15-Jul-20,Woman (wife),Yes,Kercha,Egu Abeyi,Woman (wife),No,,No Education,,5.7289086,38.479813,3,2,3,1,500,1,>25% and <50%,5000
5290529,30-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7260719,38.507569,2,2,1,1,600,1,50%,5000
5290531,05-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7253233,38.479104,3,2,2,2,500,1,>50%,5000
5290532,15-Jul-20,Woman (wife),Yes,Kercha,Egu Abeyi,Woman (wife),No,,No Education,,5.7292462,38.479416,3,2,2,1,1600,1,>50%,5000
5290533,15-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Basic informal education,5.7290622,38.479706,3,3,2,2,800,1,50%,7500
5290534,15-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.7286664,38.479912,2,2,2,0,600,1,>50%,5000
5290601,03-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7351208,38.503407,1,1,1,0,300,1,>50%,2500
5290602,21-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7365175,38.499436,2,2,3,5,500,1,50%,5000
5290603,21-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7360836,38.499219,2,2,3,0,300,1,>25% and <50%,5000
5290604,21-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7361584,38.499619,3,3,3,0,600,1,>50%,7500
5290605,22-Jun-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7279053,38.479447,2,2,2,0,500,1,>25% and <50%,5000
5290606,02-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,Yes,Yes,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7364574,38.500084,4,4,5,0,300,1,>25% and <50%,10000
5290607,03-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7381211,38.497178,3,3,1,2,400,1,>50%,7500
5290608,03-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7355958,38.504155,4,4,1,0,2000,1,>50%,10000
5290609,02-Apr-20,Woman (wife),Yes,Kercha,Egu Abeyi,Woman (wife),Yes,,No Education,,5.7367268,38.499573,3,2.5,1,1,500,1,>50%,6250
5290610,21-May-20,Woman (wife),Yes,Kercha,Egu Abeyi,Woman (wife),No,,No Education,,5.7392474,38.495514,2,2,2,0,100,1,>25% and <50%,5000
5290611,02-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,Yes,Yes,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.736569,38.499196,3,3,4,0,800,1,>50%,7500
5290613,02-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7388592,38.496594,2,2,1,0,400,1,25%,5000
5290614,07-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7264143,38.476082,2,2,1,0,500,1,100%,5000
5290615,21-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7394148,38.497128,1,1,2,0,200,1,25%,2500
5290616,07-Jul-20,Man (husband),Yes,Kercha,Egu Abeyi,Man (husband),No,No,No Education,No Education,5.7263532,38.476052,1,1,1,0,1000,1,100%,2500
5290617,07-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7262479,38.475998,2,2,2,0,1400,1,100%,5000
5290618,07-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Man (husband),,Yes,,No Education,5.72609,38.475934,3,2,3,0,1650,1,>50%,5000
5290621,21-Jun-20,Man (husband),Yes,Kercha,Egu Abeyi,Man (husband),,Yes,,Elementary - Grade 1-6,5.7269378,38.47305,2,2,3,1,500,1,25%,5000
5290622,03-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7369185,38.49841,1,1,1,0,300,1,>50%,2500
5290626,03-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7344614,38.503846,0.5,0.5,1,0,250,1,50%,1250
5290627,02-Apr-20,Man (husband),Yes,Kercha,Egu Abeyi,Woman (wife),Yes,,No Education,,5.7381054,38.497063,1,0.5,1,0,100,1,>25% and <50%,1250
5290701,26-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7334018,38.513539,2,1,2,0,,1,25%,2500
5290702,15-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7294994,38.479416,2,2,3,0,1000,1,50%,5000
5290703,26-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7342773,38.51466,1,1,1,0,300,1,25%,2500
5290704,15-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.729529,38.479413,2,2,3,0,800,1,>50%,5000
5290706,15-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7298303,38.480111,2,2,2,0,800,1,50%,5000
5290707,10-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7301641,38.480538,2,1,1,2,500,1,>50%,2500
5290708,10-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7293931,38.481446,3,1,1,2,600,1,>25% and <50%,2500
5290709,26-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7339745,38.514073,2,1.5,2,0,500,1,25%,3750
5290710,26-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7345634,38.514454,1.5,1.5,2,1,400,1,25%,3750
5290711,26-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7337924,38.513745,0.5,0.5,1,0,,1,50%,1250
5290713,10-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7293792,38.481339,2,1,1,2,600,1,>25% and <50%,2500
5290714,10-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7293792,38.481339,2,2,2,0,1000,1,50%,5000
5290715,10-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7301164,38.480568,2,2,1,2,600,1,>25% and <50%,5000
5290716,15-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7252379,38.479127,3,2,3,0,500,1,50%,5000
5290717,10-Jul-20,Man (husband),Yes,Kercha,Egu Abeyi,Man (husband),,No,,Junior Secondary - Grade 7-8,5.7299433,38.480259,1,1,2,0,900,1,>50%,2500
5290718,20-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7343779,38.510155,1,1,2,0,600,1,100%,2500
5290720,10-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7294088,38.481198,2,2,2,2,800,1,<25%,5000
5290721,10-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7298647,38.480244,2,1,1,2,500,1,50%,2500
5290722,10-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7283951,38.480191,2,1,1,2,600,1,50%,2500
5290802,17-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7277289,38.480198,2,2,2,0,600,1,>25% and <50%,5000
5290804,17-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Basic informal education,5.7278434,38.480198,2,1.5,2,0,800,1,25%,3750
5290805,06-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7174407,38.524384,2,2,1,0,300,1,>50%,5000
5290809,14-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7222052,38.485638,3,2,4,2,500,1,>25% and <50%,5000
5290810,06-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.719864,38.518849,2,1.5,2,1,300,1,>25% and <50%,3750
5290811,06-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7167941,38.523327,3,2,1,0,300,1,>50%,5000
5290812,06-May-20,Woman (wife),Yes,Kercha,Egu Abeyi,Both husband and wife equally,Yes,Yes,No Education,Junior Secondary - Grade 7-8,5.721222,38.518933,4,3,5,0,1500,1,>50%,7500
5290813,17-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7278982,38.480237,1,1,2,0,550,1,50%,2500
5290814,06-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7169734,38.521935,2,2,1,0,200,1,50%,5000
5290815,17-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7279373,38.480237,2,2,2,0,500,1,>25% and <50%,5000
5290816,17-Jul-20,Woman (wife),Yes,Kercha,Egu Abeyi,Woman (wife),No,,No Education,,5.7279835,38.480137,2,1.5,3,0,400,1,>50%,3750
5290817,06-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7171527,38.523797,3,2,1,0,200,1,50%,5000
5290903,16-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7153259,38.531262,2,1.5,1,0,200,1,<25%,3750
5290904,16-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7155972,38.529408,2,2,3,0,1000,1,25%,5000
5290905,16-Mar-20,Woman (wife),Yes,Kercha,Egu Abeyi,Woman (wife),No,,No Education,,5.714603,38.533242,2,1,2,1,200,1,25%,2500
5290909,16-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Junior Secondary - Grade 7-8,5.7199336,38.530732,3,2,3,0,1000,1,>25% and <50%,5000
5290917,19-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7262293,38.5393,1,1,1,0,300,1,>25% and <50%,2500
5290918,14-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7231265,38.491143,2,1.5,2,1,600,1,50%,3750
5291001,13-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7260404,38.507504,1,1,2,0,,1,<25%,2500
5291002,16-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7275892,38.478703,1,1,2,0,600,1,>25% and <50%,2500
5291003,12-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7250996,38.509064,0.5,0.5,1,0,100,1,50%,1250
5291004,12-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7251607,38.509064,0.5,0.5,1,0,20,1,<25%,1250
5291005,16-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Basic informal education,5.7282596,38.477593,3,2,3,2,1750,1,50%,5000
5291007,28-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.7168928,38.512841,1,1,2,0,500,1,>50%,2500
5291009,12-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7253915,38.508988,2,2,1,0,200,1,>50%,5000
5291010,15-Jun-20,Man (husband),Yes,Kercha,Egu Abeyi,Man (husband),,No,,High School - Grade 9-10,5.7302972,38.47778,1,1,2,0,500,1,>25% and <50%,2500
5291011,16-Jul-20,Woman (wife),Yes,Kercha,Egu Abeyi,Woman (wife),No,,No Education,,5.7281519,38.478077,1,1,2,0,800,1,>50%,2500
5291012,16-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.728313,38.47741,2,2,3,2,800,1,>50%,5000
5291013,13-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,Yes,Yes,Elementary - Grade 1-6,High School - Grade 9-10,5.72745,38.5085,2.5,1.5,3,2,500,1,50%,3750
5291014,16-Jul-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,High School - Grade 9-10,5.7283359,38.477631,2,1.5,3,0,300,1,>25% and <50%,3750
5291017,28-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,Yes,Yes,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7172189,38.504826,4,3,1,2,100,1,50%,7500
5291018,28-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,,,2,1,2,0,100,1,50%,2500
5291021,12-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Junior Secondary - Grade 7-8,5.7200652,38.512398,1,1,2,0,1000,1,<25%,2500
5291022,12-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7199698,38.512356,1,1,3,0,200,1,50%,2500
5291024,28-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7168127,38.512524,3,2,4,1,700,1,50%,5000
5291025,12-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7248154,38.5089,1.5,1,3,2,300,1,50%,2500
5291026,28-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7166925,38.514416,3,2,2,4,500,1,>50%,5000
5291028,28-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7165704,38.511571,2,1,2,0,100,1,>25% and <50%,2500
5291029,19-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7252584,38.478974,3,2,3,2,800,1,>25% and <50%,5000
5291033,12-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7198592,38.509835,0.5,0.5,1,0,10,1,0,1250
5300101,25-Mar-20,Man (husband),Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7158538,38.483292,3,2.5,3,0,3000,1,>50%,6250
5300102,23-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7130647,38.481801,2.5,2.5,4,0,650,1,>50%,6250
5300104,27-Apr-20,Woman (wife),Yes,Kercha,Egu Abeyi,Woman (wife),No,,No Education,,5.7118517,38.485634,0.5,0.5,1,0,200,1,>50%,1250
5300105,27-Mar-20,Man (husband),Yes,Kercha,Egu Abeyi,Man (husband),No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7110658,38.482941,2,1.5,1,0,300,1,100%,3750
5300106,18-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7164441,38.482518,1,0.5,1,0,100,1,>50%,1250
5300107,23-Mar-20,Woman (wife),Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7126809,38.484112,2,1.5,1,0,500,1,100%,3750
5300108,29-Jun-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7130013,38.485715,1,1,2,0,350,1,100%,2500
5300109,18-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7136408,38.483235,3,3,2,0,600,1,100%,7500
5300110,29-Jun-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7151166,38.483384,3.5,3,3,0,700,1,100%,7500
5300111,27-Mar-20,Man (husband),Yes,Kercha,Egu Abeyi,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7124902,38.484421,0.5,0.5,1,1,200,1,>50%,1250
5300112,18-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7090698,38.483567,3,1.5,1,0,450,1,100%,3750
5300113,18-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7087956,38.483059,2,2,1,0,700,1,100%,5000
5300114,29-Jun-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7102648,38.48687,3,2.5,3,0,900,1,100%,6250
5300115,27-Mar-20,Man (husband),Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7113486,38.484887,2,2,4,0,,1,100%,5000
5300117,25-Mar-20,Man (husband),Yes,Kercha,Egu Abeyi,Man (husband),No,No,No Education,No Education,5.715335,38.482552,0.5,0.5,2,0,50,1,<25%,1250
5300120,18-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7120386,38.486775,0.5,0.5,1,0,150,1,25%,1250
5300121,29-Jun-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7119261,38.486195,1,1,1,0,300,1,100%,2500
5300122,23-Mar-20,Woman (wife),Yes,Kercha,Egu Abeyi,Jointly with other family members,No,,No Education,,5.7086173,38.487954,2,1.5,2,2,500,1,100%,3750
5300123,18-May-20,Woman (wife),Yes,Kercha,Egu Abeyi,Woman (wife),No,,No Education,,5.7104679,38.485852,3,3,1,0,1500,1,100%,7500
5300128,27-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7115498,38.48642,1,1,1,0,250,1,50%,2500
5300129,29-Jun-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.715201,38.483239,1,1,2,0,100,1,100%,2500
5300130,23-Mar-20,Woman (wife),Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7125221,38.484322,4,3.5,4,0,750,1,>50%,8750
5300131,23-Mar-20,Man (husband),Yes,Kercha,Egu Abeyi,Man (husband),No,No,No Education,No Education,5.7086144,38.488072,3,1.5,3,0,300,1,>50%,3750
5300132,29-Jun-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7218729,38.482949,1,1,1,0,300,1,100%,2500
5300133,29-Jun-20,Man (husband),Yes,Kercha,Egu Abeyi,Man (husband),,No,,High School - Grade 9-10,5.7151099,38.483033,2,2,1,0,1000,1,100%,5000
5300134,27-Mar-20,Man (husband),Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7134019,38.484543,0.5,0.5,1,0,50,1,>50%,1250
5300135,25-Mar-20,Man (husband),Yes,Kercha,Egu Abeyi,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7156602,38.482922,0.5,0.5,1,0,1000,1,100%,1250
5300201,19-Mar-20,Man (husband),Yes,Kercha,Egu Abeyi,Man (husband),No,No,No Education,Junior Secondary - Grade 7-8,5.7048379,38.499169,4.5,4,5,0,3570,1,100%,10000
5300202,30-Mar-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.709231,38.491929,2,1.5,1,0,1000,1,100%,3750
5300204,30-Jun-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7075949,38.49141,2,1.5,3,0,700,1,100%,3750
5300205,08-May-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7221409,38.484379,1,1,1,0,500,1,>25% and <50%,2500
5300206,07-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.710815,38.491612,0.5,0.5,2,0,,1,100%,1250
5300207,29-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7042766,38.49775,1.5,1.5,2,0,200,1,>50%,3750
5300208,30-Mar-20,Woman (wife),Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7092133,38.491669,2,2,1,0,1200,1,100%,5000
5300209,18-Mar-20,Man (husband),Yes,Kercha,Egu Abeyi,Man (husband),No,No,No Education,Junior Secondary - Grade 7-8,5.7062298,38.494496,3,2.5,2,0,3000,1,100%,6250
5300210,29-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7041035,38.497208,4,3,4,0,400,1,>50%,7500
5300211,10-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7096005,38.490201,1,0.5,2,0,300,1,>50%,1250
5300212,07-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,Elementary - Grade 1-6,No Education,5.7106434,38.490529,0.5,0.5,1,0,211,1,>25% and <50%,1250
5300213,10-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,No,No Education,No Education,5.7080475,38.490517,4.5,4,1,0,3000,1,100%,10000
5300214,19-Mar-20,Woman (wife),Yes,Kercha,Egu Abeyi,Jointly with other family members,No,,No Education,,5.7069202,38.493687,4.5,4,4,1,500,1,100%,10000
5300215,21-May-20,Woman (wife),Yes,Kercha,Egu Abeyi,Woman (wife),No,,No Education,,5.7070089,38.493962,2,2,1,0,600,1,100%,5000
5300216,03-Jul-20,Woman (wife),Yes,Kercha,Egu Abeyi,Woman (wife),No,,No Education,,5.7088047,38.491593,2,1.5,1,0,800,1,100%,3750
5300217,10-Apr-20,Man (husband),Yes,Kercha,Egu Abeyi,Man (husband),,No,,No Education,5.7081834,38.491154,0.5,0.5,2,0,100,1,>50%,1250
5300218,07-Apr-20,Both husband and wife equally,Yes,Kercha,Egu Abeyi,Both husband and wife equally,No,Yes,No Education,No Education,5.7107368,38.491009,2,1.5,3,0,230,1,100%,3750
